LotArea,OverallQual,OverallCond,YearBuilt,BsmtQual,BsmtExposure,TotalBsmtSF,CentralAir,GrLivArea,BsmtFullBath,KitchenQual,Fireplaces,GarageCars,Neighborhood_Crawfor,Neighborhood_NridgHt,Neighborhood_StoneBr,BsmtGLQ,HeatingQC_Ex,Baths,TotalPorch,SalePrice
9.04192172035122,7,5,2003,3,1,856,1,1710,1,2,0,2,0,0,0,1.0,1,3.1,61,208500
9.169518377455928,6,8,1976,3,4,1262,1,1262,0,1,1,2,0,0,0,0.0,1,2.3,298,181500
9.328123407632567,7,5,2001,3,2,920,1,1786,1,2,1,2,0,0,0,1.0,1,3.1,42,223500
9.164296433474776,7,5,1915,2,1,756,1,1717,1,2,1,3,1,0,0,0.0,0,1.6,307,140000
9.565213693968287,8,5,2000,3,3,1145,1,2198,1,2,1,3,0,0,0,1.0,1,3.1,276,250000
9.55499334068759,5,5,1993,3,1,796,1,1362,1,1,0,2,0,0,0,1.0,1,2.1,390,143000
9.218705288307811,8,5,2004,4,3,1686,1,1694,1,2,1,2,0,0,0,1.0,1,2.6,312,307000
9.247828816387175,7,6,1973,3,2,1107,1,2090,1,1,2,2,0,0,0,0.0,1,3.1,667,200000
8.719317375506371,7,5,1931,2,1,952,1,1774,0,1,2,2,0,0,0,0.0,0,2.0,295,129900
8.911934336161426,5,6,1939,2,1,991,1,1077,1,1,2,1,0,0,0,1.0,1,1.6,4,118000
9.323669057283183,5,5,1965,2,1,1040,1,1040,1,1,0,1,0,0,0,0.0,1,1.6,0,129500
9.386308454797962,9,5,2005,4,1,1175,1,2324,1,3,2,3,0,1,0,1.0,1,3.6,168,345000
9.470240063415512,5,6,1962,2,1,912,1,912,1,1,0,1,0,0,0,0.0,0,1.6,316,144000
9.273502946933824,7,5,2006,3,3,1494,1,1494,0,2,1,3,0,0,0,0.0,1,2.0,193,279500
9.298351249298896,6,5,1960,2,1,1253,1,1253,1,1,1,1,0,0,0,0.0,0,2.1,389,157000
8.719317375506371,7,8,1929,2,1,832,1,854,0,1,0,2,0,0,0,0.0,1,1.0,160,132000
9.327323087461798,6,7,1970,2,1,1004,1,1004,1,1,1,2,0,0,0,0.0,1,1.6,0,149000
9.286467732363734,4,5,1967,0,0,0,1,1296,0,1,0,2,0,0,0,0.0,0,2.0,0,90000
9.524786081697178,5,5,2004,2,1,1114,1,1114,1,2,0,2,0,0,0,1.0,1,2.1,102,159000
